idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
106,13.87824,-0.19772,0.89709,0.60589,0.93553,0.89132,-0.22397,0.29142,0.42950,1.29698,0.02667,0.03644,0.23248,0.09478,-0.06517,4.00726,0.13926
107,18.35076,-0.07898,0.86273,0.88324,2.18655,1.21728,0.06439,0.24835,0.85319,1.39582,0.13892,0.01582,0.21462,0.11500,0.34260,6.67314,0.16354
108,13.22509,-0.55796,1.32437,0.93940,3.56207,0.94614,-0.18586,0.26515,-0.45179,0.46913,0.18581,0.18882,0.19907,0.04442,-0.54014,5.43117,0.14019
109,18.75086,0.08361,0.67334,0.75092,3.09787,1.59168,0.18006,0.24135,0.83440,0.78888,0.03472,0.17631,0.19971,0.12775,-0.01175,4.73519,0.13935
110,16.79994,-0.35940,1.56695,0.72977,1.32602,1.48661,0.01719,0.20947,-1.22930,1.31410,0.17776,0.09733,0.14876,0.07662,0.32615,5.84064,0.14901
111,14.08898,-0.15876,1.69398,0.65848,3.18150,0.67209,-0.20949,0.22665,0.11758,-0.12601,0.10607,0.04140,0.20239,0.13493,0.25274,3.43309,0.14807
112,12.56433,0.54370,0.84539,0.93353,2.69396,0.82729,0.17920,0.24970,-1.68667,-0.74850,0.12493,0.09536,0.20865,0.07508,-0.34416,5.15548,0.14220
113,17.11351,0.15274,0.91412,1.31431,3.09373,1.09144,-0.16498,0.18888,-0.57610,0.69429,0.09739,0.08566,0.21997,0.14713,0.55587,5.55794,0.15247
114,17.13299,-0.30298,1.34912,1.09356,3.11431,0.73103,-0.28879,0.19209,-0.76279,0.72278,0.11600,0.05740,0.25077,0.04721,-0.51935,2.34182,0.14261
115,16.02633,0.50685,1.67772,1.00309,4.28887,1.21287,-0.23574,0.17636,-1.25236,0.14188,0.02762,0.19406,0.24762,0.03218,-0.00617,3.99924,0.15198
116,16.46609,0.30038,1.50876,0.76876,2.13229,0.64402,0.15615,0.28897,-1.01213,1.64566,0.14185,0.16682,0.19744,0.03798,0.77369,2.70540,0.14311
117,11.75157,-0.13596,1.62371,1.12221,0.34411,1.26970,0.10192,0.16318,-1.50068,0.88650,0.16041,0.12092,0.22437,0.13826,-0.18105,3.81483,0.14178
118,17.46332,-0.29981,1.04156,1.15775,2.59436,1.94784,-0.29620,0.22766,-0.19311,0.89354,0.12099,0.15016,0.18426,0.10232,-0.40111,2.82306,0.14573
119,11.60652,-0.02024,0.99875,1.12783,2.36166,0.79136,-0.12996,0.23343,-0.98476,0.55604,0.12722,0.05651,0.24507,0.13042,-0.36584,7.98033,0.14476
120,11.31062,-0.34112,1.55729,0.82161,2.32344,1.50570,-0.03648,0.17810,0.07118,1.16251,0.08335,0.13872,0.18339,0.03447,0.22169,3.50347,0.15590
121,13.91354,-0.17210,1.50645,1.16322,2.82679,0.76549,0.13271,0.29897,0.70159,1.04231,0.05574,0.12504,0.21386,0.05802,-0.42028,4.13711,0.13897
122,11.81611,-0.09232,0.31851,1.26299,3.00955,1.89643,-0.24474,0.15890,-1.61626,1.42524,0.06708,0.10244,0.21060,0.06585,0.32049,6.93907,0.13738
123,14.98791,-0.40104,0.64612,0.54580,0.89499,1.67858,-0.00161,0.18722,-0.61095,-0.56566,0.01896,0.03477,0.21626,0.06471,0.21217,2.43948,0.13761
124,13.55539,-0.06331,1.06686,0.85398,2.11932,0.73426,0.07679,0.26950,0.50781,-0.86062,0.02823,0.07928,0.29869,0.04942,-0.30129,6.44801,0.15020
125,12.30898,0.39261,1.19638,1.30243,0.63566,1.35498,-0.27809,0.24586,0.99001,-0.28616,0.12212,0.17022,0.14165,0.06546,0.08821,4.09567,0.15980
